horodatage;libelle_article;nb;total_ttc;reglement
2026-07-25 12:10;Reine;2;27.80;CB
2026-07-25 12:10;Boisson 33cl;1;2.50;CB
2026-07-25 12:45;Margherita;1;11.90;Espèces
2026-07-25 13:15;4 Fromages;1;15.90;CB
2026-07-25 19:15;Pepperoni;2;29.80;CB
2026-07-25 19:45;Calzone;1;14.50;Ticket resto
2026-07-25 20:25;Tiramisu;2;9.80;CB
2026-07-25 20:55;Végétarienne;1;13.50;Espèces
2026-07-26 12:10;Reine;1;13.90;CB
2026-07-26 12:45;Salade César;1;8.90;CB
2026-07-26 13:15;4 Fromages;2;31.80;Espèces
2026-07-26 19:15;Pepperoni;1;14.90;CB
2026-07-26 19:45;Margherita;2;23.80;Ticket resto
2026-07-26 20:25;Boisson 33cl;3;7.50;CB
2026-07-26 20:55;Calzone;1;14.50;CB
2026-07-27 12:10;Reine;2;27.80;Espèces
2026-07-27 12:45;Tiramisu;1;4.90;CB
2026-07-27 13:15;Végétarienne;1;13.50;CB
2026-07-27 19:15;4 Fromages;1;15.90;Ticket resto
2026-07-27 19:45;Pepperoni;2;29.80;CB
