date_heure,nom_pizza,quantite,prix_total,taille,categorie
2026-01-01 11:38:36,Hawaïenne Jambon,1,17.99,Large,Les Grands Classiques
2026-01-01 11:57:40,Extravaganzza,1,20.99,Large,Toujours Plus
2026-01-01 11:57:40,Divine 3 Fromages,1,21.99,XL,Éditions Limitées
2026-01-01 11:57:40,Pepperoni Party,1,23.49,XL,Les Iconiques
2026-01-01 11:57:40,Royale Veggie,1,18.99,Large,Les Gourmandes Veggies
2026-01-01 11:57:40,Hawaïenne Poulet,1,20.99,XL,Les Grands Classiques
2026-01-01 12:12:28,Pepperoni Party,1,20.49,Large,Les Iconiques
2026-01-01 12:12:28,Cannibale,1,23.49,XL,Les Iconiques
2026-01-01 12:16:31,Pepperoni Party,1,20.49,Large,Les Iconiques
2026-01-01 12:21:30,Pepperoni Party,1,20.49,Large,Les Iconiques
2026-01-01 12:29:36,Chicken BBQ,1,15.99,Medium,Les Grands Classiques
2026-01-01 12:29:36,Steak and Cheese,1,14.99,Medium,Les Grands Classiques
2026-01-01 12:50:37,Chicken and Cheddar,1,17.49,Medium,Éditions Limitées
2026-01-01 12:51:37,Chicken and Cheddar,1,17.49,Medium,Éditions Limitées
2026-01-01 12:52:01,Extravaganzza,1,17.99,Medium,Toujours Plus
2026-01-01 12:52:01,Super Veggie,1,17.49,Medium,Les Gourmandes Veggies
2026-01-01 12:52:01,Forestière,1,23.49,XL,Les Grands Classiques
2026-01-01 12:52:01,Pepperoni Party,1,23.49,XL,Les Iconiques
2026-01-01 12:52:01,Pepperoni Party,1,17.49,Medium,Les Iconiques
2026-01-01 12:52:01,Royale Veggie,1,15.99,Medium,Les Gourmandes Veggies
2026-01-01 12:52:01,Kebab and Spicy,1,21.99,XL,Les Originales
2026-01-01 12:52:01,Cheesy and Veggie,1,20.99,XL,Les Gourmandes Veggies
2026-01-01 12:52:01,Peppina Vegan,1,16.99,Medium,Les Vegans
2026-01-01 13:00:15,Royale Veggie,1,21.99,XL,Les Gourmandes Veggies
2026-01-01 13:00:15,Algérienne,1,21.99,XL,Les Grands Classiques
2026-01-01 13:02:59,Chicken BBQ,1,21.99,XL,Les Grands Classiques
2026-01-01 13:02:59,Chicken Delight,1,21.99,XL,Les Originales
2026-01-01 13:02:59,Chicken Delight,1,18.99,Large,Les Originales
2026-01-01 13:02:59,Originale Pepperoni,1,18.99,XL,Les Bons Plans
2026-01-01 13:04:41,Chicken Delight,1,21.99,XL,Les Originales
2026-01-01 13:04:41,Chicken Delight,1,15.99,Medium,Les Originales
2026-01-01 13:04:41,Bacon Groovy,1,23.49,XL,Les Iconiques
2026-01-01 13:04:41,Pepperoni Party,1,20.49,Large,Les Iconiques
2026-01-01 13:11:55,Royale Veggie,1,21.99,XL,Les Gourmandes Veggies
2026-01-01 13:14:19,Steak and Cheese,1,14.99,Medium,Les Grands Classiques
2026-01-01 13:33:00,Ultimate Meat,1,17.99,Medium,Toujours Plus
2026-01-01 13:33:00,Divine 3 Fromages,1,21.99,XL,Éditions Limitées
2026-01-01 13:33:00,Beef and Cheddar,1,23.99,XL,Éditions Limitées
2026-01-01 13:33:00,Steak and Cheese,1,14.99,Medium,Les Grands Classiques
2026-01-01 13:34:07,Chèvre-Miel,1,21.99,XL,Les Iconiques
2026-01-01 13:34:07,Pêcheur,1,15.99,Medium,Les Grands Classiques
2026-01-01 13:34:07,Hawaïenne Poulet,1,20.99,XL,Les Grands Classiques
2026-01-01 13:53:00,Chicken BBQ,1,21.99,XL,Les Grands Classiques
2026-01-01 13:53:00,Diavola Haché au bœuf,1,18.99,Large,Les Originales
2026-01-01 13:53:00,Divine 3 Fromages,1,21.99,XL,Éditions Limitées
2026-01-01 13:53:00,Chèvre-Miel,1,18.99,Large,Les Iconiques
2026-01-01 13:53:00,Pepperoni Party,1,20.49,Large,Les Iconiques
2026-01-01 13:53:00,Peppina,1,16.99,Medium,Les Gourmandes Veggies
2026-01-01 13:53:00,Rocket Veggie,2,31.98,Large,Les Gourmandes Veggies
2026-01-01 13:53:00,Royale Veggie,1,21.99,XL,Les Gourmandes Veggies
2026-01-01 13:53:00,Crispy Cannibale,1,17.99,Medium,Les Originales
2026-01-01 13:53:00,Margherita,1,18.99,XL,Les Bons Plans
2026-01-01 13:57:08,Pêcheur,1,21.99,XL,Les Grands Classiques
2026-01-01 13:59:09,Forestière,1,23.49,XL,Les Grands Classiques
2026-01-01 13:59:09,Urban Kebab,1,23.49,XL,Les Originales
2026-01-01 14:03:08,Ultimate Meat,1,17.99,Medium,Toujours Plus
2026-01-01 14:03:08,Divine 3 Fromages,1,21.99,XL,Éditions Limitées
2026-01-01 14:14:29,Forestière,1,23.49,XL,Les Grands Classiques
2026-01-01 14:16:26,Divine 3 Fromages,1,21.99,XL,Éditions Limitées
2026-01-01 14:16:26,Forestière,1,20.49,Large,Les Grands Classiques
2026-01-01 14:16:26,Algérienne,1,21.99,XL,Les Grands Classiques
2026-01-01 14:19:03,Algérienne,1,15.99,Medium,Les Grands Classiques
