date,produit,quantite,montant
2026-06-01 12:15,Reine,2,27.80
2026-06-01 12:15,Boisson 33cl,1,2.50
2026-06-01 19:40,Pepperoni,1,14.90
2026-06-02 13:05,4 Fromages,1,15.90
2026-06-02 20:10,Végétarienne,2,27.00
2026-06-02 20:10,Tiramisu,1,4.90
2026-06-03 12:50,Calzone,1,14.50
2026-06-03 19:20,Reine,1,13.90
2026-06-04 12:30,Margherita,2,23.80
2026-06-04 21:00,Pepperoni,1,14.90
2026-06-05 12:15,Reine,2,27.80
2026-06-05 12:15,Boisson 33cl,1,2.50
2026-06-06 20:00,4 Fromages,2,31.80
01/13/2026,Reine,1,13.90
2026-06-07 19:00,,1,13.90
2026-06-08 20:30,Pepperoni,-2,29.80
2026-06-09 12:40,Calzone,1,abc
