date,produit,quantite,montant
2026-07-20 12:15,Reine,2,27.80
2026-07-20 12:15,Boisson 33cl,2,5.00
2026-07-20 12:40,Margherita,1,11.90
2026-07-20 13:05,4 Fromages,1,15.90
2026-07-20 19:20,Pepperoni,2,29.80
2026-07-20 19:50,Calzone,1,14.50
2026-07-20 20:30,Tiramisu,2,9.80
2026-07-21 12:15,Reine,1,13.90
2026-07-21 12:40,Végétarienne,1,13.50
2026-07-21 13:05,Salade César,1,8.90
2026-07-21 19:20,Pepperoni,1,14.90
2026-07-21 19:50,4 Fromages,2,31.80
2026-07-21 20:30,Boisson 33cl,3,7.50
2026-07-22 12:15,Margherita,2,23.80
32/07/2026,Reine,1,13.90
2026-13-05 12:00,Pepperoni,1,14.90
hier,Calzone,1,14.50
2026-07-22 12:40,,1,11.90
2026-07-22 13:05,Tiramisu,,4.90
2026-07-22 19:20,Reine,1,
2026-07-22 19:50,Pepperoni,-2,29.80
2026-07-22 20:30,4 Fromages,0,15.90
2026-07-23 12:15,Calzone,1,abc
2026-07-23 12:40,Reine,1,-13.90
2026-07-20 12:15,Reine,2,27.80
